state	year	felony	invcommitment	invoutpatient	danger	drugmisdemeanor	alctreatment	alcoholism	dealer	dealerh	recordsall	recordsallh	recordsdealer	recordsdealerh	reportall	reportallh	reportdealer	reportdealerh	purge	residential	theft	security	inspection	ammlicense	ammrecords	permit	permith	fingerprint	training	permitlaw	ammpermit	ammrestrict	age21handgunsale	age18longgunsale	age21longgunsaled	age21longgunsale	age21handgunpossess	age18longgunpossess	age21longgunpossess	loststolen	amm18	amm21h	universal	universalh	gunshow	gunshowh	universalpermit	universalpermith	backgroundpurge	ammbackground	threedaylimit	mentalhealth	statechecks	statechecksh	waiting	waitingh	assault	onefeature	assaultlist	assaultregister	assaulttransfer	magazine	tenroundlimit	magazinepreowned	onepermonth	microstamp	college	collegeconcealed	elementary	permitconcealed	mayissue	showing	ccbackground	ccrenewbackground	ccrevoke	nosyg	personalized	lockd	lockp	locked	lockstandards	capliability	capaccess	capuses	capunloaded	cap18	cap16	cap14	junkgun	liability	immunity	preemption	mcdv	mcdvdating	mcdvsurrender	mcdvsurrendernoconditions	mcdvsurrenderdating	mcdvremovalallowed	mcdvremovalrequired	incidentremoval	incidentall	dvro	dvrodating	exparte	expartedating	dvrosurrender	dvrosurrendernoconditions	dvrosurrenderdating	expartesurrender	expartesurrendernoconditions	expartesurrenderdating	dvroremoval	stalking	intimatetotal	lawtotal
Alabama	1991	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1992	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1993	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1994	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1995	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1996	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1997	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1998	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	1999	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Alabama	2000	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
